model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
30,192,103219200,3.397885058957885e-34,,0.0
31,24,12902400,0.009943639294018026,,0.0
31,48,25804800,0.0060539981072221865,,0.0
31,72,38707200,0.0035413176193595883,,0.0
31,96,51609600,0.0019153347755940255,0.0019153347755940253,0.0
31,120,64512000,0.0009058524670218263,,0.0
31,144,77414400,0.0003338870897515403,,0.0
31,168,90316800,6.650056480200198e-05,,0.0
31,192,103219200,5.1221675600969656e-34,,0.0
32,24,12902400,0.02902195192595571,,0.0
32,48,25804800,0.01711126137097896,,0.0
32,72,38707200,0.00973182304425819,,0.0
32,96,51609600,0.00511954046408559,0.00511954046408559,0.0
32,120,64512000,0.002353981301444751,,0.0
32,144,77414400,0.0008431226644137448,,0.0
32,168,90316800,0.00016619633893242793,,0.0
32,192,103219200,1.7111492766289565e-33,,0.0
33,24,12902400,0.011670737287683145,,0.0
33,48,25804800,0.006939401971572512,,0.0
33,72,38707200,0.003963107389847205,,0.0
33,96,51609600,0.0020895646671370612,0.0020895646671370612,0.0
33,120,64512000,0.0009657885236377818,,0.0
33,144,77414400,0.0003497611327491464,,0.0
33,168,90316800,6.932454259869795e-05,,0.0
33,192,103219200,7.640844088477081e-34,,0.0
34,24,12902400,0.008168775377432085,,0.0
34,48,25804800,0.004958847399716288,,0.0
34,72,38707200,0.002888534489635894,,0.0
34,96,51609600,0.0015472688343863795,0.0015472688343863795,0.0
34,120,64512000,0.0007193873587942957,,0.0
34,144,77414400,0.0002591414656881225,,0.0
34,168,90316800,4.999895406114816e-05,,0.0
34,192,103219200,3.7294482142353968e-34,,0.0
35,24,12902400,0.018409362383860976,,0.0
35,48,25804800,0.010541579056767652,,0.0
35,72,38707200,0.005884115246941998,,0.0
35,96,51609600,0.003036163095616629,0.003036163095616629,0.0
35,120,64512000,0.0013589045293651923,,0.0
35,144,77414400,0.0004668829883619365,,0.0
35,168,90316800,8.474225671072945e-05,,0.0
35,192,103219200,1.1936083287494777e-33,,0.0
36,24,12902400,0.007411965417662548,,0.0
36,48,25804800,0.004669694938583076,,0.0
36,72,38707200,0.00282001512119762,,0.0
36,96,51609600,0.0015811308894706372,0.001581130889470637,0.0
36,120,64512000,0.0007830427729233552,,0.0
36,144,77414400,0.0003064070945711919,,0.0
36,168,90316800,6.651013694691018e-05,,0.0
36,192,103219200,3.4521536367297333e-34,,0.0
37,24,12902400,0.007619980938574226,,0.0
37,48,25804800,0.004736213452829691,,0.0
37,72,38707200,0.0028235847341573396,,0.0
37,96,51609600,0.0015535282430099277,0.001553528243009928,0.0
37,120,64512000,0.000746761099197123,,0.0
37,144,77414400,0.00027955170830183657,,0.0
37,168,90316800,5.620899841085681e-05,,0.0
37,192,103219200,3.4999814217034044e-34,,0.0
38,24,12902400,0.0059894029161994215,,0.0
38,48,25804800,0.003624446804478176,,0.0
38,72,38707200,0.002106086492596311,,0.0
38,96,51609600,0.0011309495925540475,0.0011309495925540475,0.0
38,120,64512000,0.0005322702238032282,,0.0
38,144,77414400,0.0001953358230821792,,0.0
38,168,90316800,3.8831667481188195e-05,,0.0
38,192,103219200,3.4184873335109725e-34,,0.0
39,24,12902400,0.007311448788347324,,0.0
39,48,25804800,0.004418995138624028,,0.0
39,72,38707200,0.0025767721115182085,,0.0
39,96,51609600,0.0013899973639016328,0.0013899973639016328,0.0
39,120,64512000,0.0006542588718583236,,0.0
39,144,77414400,0.00023901619318725278,,0.0
39,168,90316800,4.680735963606965e-05,,0.0
39,192,103219200,3.884439357111925e-34,,0.0
40,24,12902400,0.015460339530554397,,0.0
40,48,25804800,0.009079766492764332,,0.0
40,72,38707200,0.005168011637552811,,0.0
40,96,51609600,0.0027452098759859394,0.0027452098759859394,0.0
40,120,64512000,0.0012873346212466477,,0.0
40,144,77414400,0.00047365282166853396,,0.0
40,168,90316800,9.449614161088874e-05,,0.0
40,192,103219200,6.139319480023153e-34,,0.0
41,24,12902400,0.009220661363547584,,0.0
41,48,25804800,0.005448352167456916,,0.0
41,72,38707200,0.0031184924766701084,,0.0
41,96,51609600,0.001656999736433455,0.001656999736433455,0.0
41,120,64512000,0.0007724569719449532,,0.0
41,144,77414400,0.0002811182009365569,,0.0
41,168,90316800,5.471135272434168e-05,,0.0
41,192,103219200,5.300742299471172e-34,,0.0
42,24,12902400,0.02269736323760228,,0.0
42,48,25804800,0.013084145056994755,,0.0
42,72,38707200,0.007337907271813721,,0.0
42,96,51609600,0.003814443001529411,0.0038144430015294114,0.0
42,120,64512000,0.0017346174920756347,,0.0
42,144,77414400,0.0006084077266993769,,0.0
42,168,90316800,0.00011162718127450045,,0.0
42,192,103219200,1.3081244390644609e-33,,0.0
43,24,12902400,0.0432081067544768,,0.0
43,48,25804800,0.024631135227064466,,0.0
43,72,38707200,0.013747761292507916,,0.0
43,96,51609600,0.00715561281269187,0.007155612812691869,0.0
43,120,64512000,0.003268895543126823,,0.0
43,144,77414400,0.001161442920144205,,0.0
43,168,90316800,0.00021718327374936372,,0.0
43,192,103219200,2.4742467715949014e-33,,0.0
44,24,12902400,0.0148261746564856,,0.0
44,48,25804800,0.008745601783637735,,0.0
44,72,38707200,0.0050285689851379605,,0.0
44,96,51609600,0.0026852029774958584,0.002685202977495858,0.0
44,120,64512000,0.0012551553741378325,,0.0
44,144,77414400,0.0004557961887279085,,0.0
44,168,90316800,8.815738342195726e-05,,0.0
44,192,103219200,8.4925394319212e-34,,0.0
45,24,12902400,0.04270216302220611,,0.0
45,48,25804800,0.024969227639520385,,0.0
45,72,38707200,0.014210579894195078,,0.0
45,96,51609600,0.007482597174815357,0.007482597174815357,0.0
45,120,64512000,0.003428791743359315,,0.0
45,144,77414400,0.0012106302744764655,,0.0
45,168,90316800,0.00022380254017532957,,0.0
45,192,103219200,2.255684868689018e-33,,0.0
46,24,15654912,0.009605722491330957,,0.0
46,48,31309824,0.005477747437647809,,0.0
46,72,46964736,0.003097727577435929,,0.0
46,96,62619648,0.0016370519461007067,0.0016370519461007067,0.0
46,120,78274560,0.0007545967066956425,,0.0
46,144,93929472,0.00026673128973824303,,0.0
46,168,109584384,4.938922158700735e-05,,0.0
46,192,125239296,6.56647797665449e-34,,0.0
47,24,16144128,0.01845172040220097,,0.0625
47,48,31799040,0.010344398772031362,,0.0625
47,72,47453952,0.005709941504657867,,0.0625
47,96,63108864,0.002923747557821279,0.0029237475578212787,0.0625
47,120,78763776,0.0013011312896850137,,0.0625
47,144,94418688,0.0004432214071472666,,0.0625
47,168,110073600,7.897289502706955e-05,,0.0625
47,192,125239296,1.0297065376389196e-33,,0.0625
48,24,12902400,0.018599840323235854,,0.0
48,48,25804800,0.01156707313404249,,0.0
48,72,38707200,0.00691486607646694,,0.0
48,96,51609600,0.003818362959116784,0.0038183629591167843,0.0
48,120,64512000,0.0018373195563599406,,0.0
48,144,77414400,0.0006828218534199075,,0.0
48,168,90316800,0.00013409518056181605,,0.0
48,192,103219200,8.550609762386213e-34,,0.0
49,24,13305600,0.00836346864107896,,0.0625
49,48,26208000,0.004844729700951852,,0.0625
49,72,39110400,0.002713985332323405,,0.0625
49,96,52012800,0.0013964575565272833,0.0013964575565272833,0.0625
49,120,64915200,0.0006213169523058789,,0.0625
49,144,77817600,0.00020957276609745952,,0.0625
49,168,90720000,3.617486675239923e-05,,0.0625
49,192,103219200,4.3182384000266474e-34,,0.0625
50,24,12902400,0.014242758161516312,,0.0
50,48,25804800,0.008722396935370247,,0.0
50,72,38707200,0.00510410229672577,,0.0
50,96,51609600,0.0027271530533892626,0.0027271530533892626,0.0
50,120,64512000,0.001248947144929769,,0.0
50,144,77414400,0.000429890642366112,,0.0
50,168,90316800,7.343499516983608e-05,,0.0
50,192,103219200,5.66133057292022e-34,,0.0
