model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
32,96,62496000,0.00511954046408559,0.00511954046408559,1.6875
32,120,75398400,0.002138069529486561,,1.6875
32,144,88300800,0.000650568548968072,,1.6875
32,168,99792000,8.555459455600343e-05,,1.6875
32,192,103219200,1.6543902228954267e-33,,1.6875
33,24,19353600,0.014376876521698813,,1.0
33,48,32256000,0.008066550616426041,,1.0
33,72,45158400,0.004293853857062148,,1.0
33,96,58060800,0.0020895646671370612,0.0020895646671370612,1.0
33,120,70963200,0.0008699733582210758,,1.0
33,144,83865600,0.0002678612502392799,,1.0
33,168,96566400,3.5439543945565535e-05,,1.0
33,192,103219200,8.08510024571407e-34,,1.0
34,24,19152000,0.009596587462078946,,0.96875
34,48,32054400,0.00559204205233094,,0.96875
34,72,44956800,0.0030943122088411754,,0.96875
34,96,57859200,0.0015472688343863793,0.0015472688343863795,0.96875
34,120,70761600,0.0006493973626017939,,0.96875
34,144,83664000,0.00019726000083290578,,0.96875
34,168,96364800,2.5090586603311226e-05,,0.96875
34,192,103219200,4.462185701197142e-34,,0.96875
35,24,22176000,0.021791062885760333,,1.4375
35,48,35078400,0.011916574211022603,,1.4375
35,72,47980800,0.006310830911939942,,1.4375
35,96,60883200,0.0030361630956166293,0.003036163095616629,1.4375
35,120,73785600,0.0012266559326847238,,1.4375
35,144,86688000,0.00035007727041435835,,1.4375
35,168,98784000,4.062709585954277e-05,,1.4375
35,192,103219200,1.795286778799776e-33,,1.4375
36,24,17337600,0.008300340032362324,,0.6875
36,48,30240000,0.005087326682222284,,0.6875
36,72,43142400,0.0029634114589943052,,0.6875
36,96,56044800,0.001581130889470637,0.001581130889470637,0.6875
36,120,68947200,0.0007277416040657515,,0.6875
36,144,81849600,0.0002489781096493336,,0.6875
36,168,94147200,3.831166448799533e-05,,0.6875
36,192,103219200,4.228732479440752e-34,,0.6875
37,24,21571200,0.00862535334402499,,1.34375
37,48,34473600,0.005218156125924456,,1.34375
37,72,47376000,0.002989958724888298,,1.34375
37,96,60278400,0.0015535282430099277,0.001553528243009928,1.34375
